	rank	player	pts_per_g	trb_per_g	ast_per_g	stl_per_g	blk_per_g	fg_pct	ws	ws_per_48
64	9	George Gervin	26.2	4.6	3.4	1.1	0.9	0.487	9.4	0.159
65	10	Kareem Abdul-Jabbar	21.8	7.5	2.5	0.8	2.2	0.588	10.9	0.205
66	11	Jack Sikma	18.2	11.4	3.1	1.2	0.9	0.464	9.8	0.183
67	12	Jeff Ruland	19.4	11	3	0.9	1	0.552	10.1	0.169
68	13	Terry Cummings	23.7	10.6	2.5	1.8	0.9	0.523	8.7	0.164
69	14	Maurice Lucas	16.5	10.4	2.8	0.7	0.6	0.474	7.1	0.132
70	15	Alton Lister	8.4	7.1	1.4	0.6	2.2	0.529	3.8	0.096
71	16	Bernard King	21.9	4.8	2.9	1.3	0.2	0.528	7.5	0.163
72	16	Isiah Thomas	22.9	4	7.8	2.5	0.4	0.472	7.4	0.115
73	18	Larry Drew	20.1	2.8	8.1	1.7	0.1	0.492	7.2	0.128
74	18	Gus Williams	20	2.6	8	2.3	0.3	0.477	8.5	0.148
75	20	Dan Roundfield	19	11.4	2.9	0.8	1.5	0.47	7.4	0.127
76	21	Marques Johnson	21.4	7	4.5	1.3	0.7	0.509	10.7	0.18
77	22	Norm Nixon	15.1	2.6	7.2	1.3	0.1	0.475	3.9	0.069
78	22	Kiki Vandeweghe	26.7	5.3	2.5	0.8	0.5	0.547	11	0.182
79	1	Larry Bird	24.2	10.1	6.6	1.8	0.9	0.492	13.6	0.215
80	2	Bernard King	26.3	5.1	2.1	1	0.2	0.572	12.1	0.218
81	3	Magic Johnson	17.6	7.3	13.1	2.2	0.7	0.565	10.2	0.191
82	4	Kareem Abdul-Jabbar	21.5	7.3	2.6	0.7	1.8	0.578	8.9	0.163
83	5	Isiah Thomas	21.3	4	11.1	2.5	0.4	0.462	9.1	0.144
84	6	Julius Erving	22.4	6.9	4	1.8	1.8	0.512	10.1	0.18
85	7	Adrian Dantley	30.6	5.7	3.9	0.8	0.1	0.558	14.6	0.235
86	8	Sidney Moncrief	20.9	6.7	4.5	1.4	0.3	0.498	12.7	0.198
87	9	Jeff Ruland	22.2	12.3	3.9	0.9	1	0.579	9.3	0.144
88	10	Moses Malone	22.7	13.4	1.4	1	1.5	0.483	9.5	0.175
89	11	Mark Aguirre	29.5	5.9	4.5	1	0.3	0.524	9	0.149
90	12	Bill Laimbeer	17.3	12.2	1.8	0.6	1	0.53	10.8	0.181
91	13	Rickey Green	13.2	2.8	9.2	2.7	0.2	0.486	7.9	0.138
92	14	World B. Free	22.3	2.9	3	1.3	0.1	0.445	5.3	0.107
93	14	Marques Johnson	20.7	6.5	4.3	1.6	0.6	0.502	8.6	0.152
94	1	Larry Bird	28.7	10.5	6.6	1.6	1.2	0.522	15.7	0.238
95	2	Magic Johnson	18.3	6.2	12.6	1.5	0.3	0.561	12.7	0.22
96	3	Moses Malone	24.6	13.1	1.6	0.8	1.6	0.469	11.9	0.193
97	4	Kareem Abdul-Jabbar	22	7.9	3.2	0.8	2.1	0.599	11.2	0.204
98	5	Terry Cummings	23.6	9.1	2.9	1.5	0.8	0.495	10.7	0.189
99	6	Michael Jordan	28.2	6.5	5.9	2.4	0.8	0.515	14	0.213
100	7	Bernard King	32.9	5.8	3.7	1.3	0.3	0.53	7.1	0.166
101	8	Sidney Moncrief	21.7	5.4	5.2	1.6	0.5	0.483	11.2	0.197
102	9	Isiah Thomas	21.2	4.5	13.9	2.3	0.3	0.458	11.2	0.173
103	10	Ralph Sampson	22.1	10.4	2.7	1	2	0.502	6.2	0.096
104	11	Calvin Natt	23.3	7.8	3.1	1	0.4	0.546	10.2	0.185
105	12	Alex English	27.9	5.7	4.2	1.2	0.6	0.518	8.9	0.146
